"","FIPS","E.Hesitant","E.Hesitant/Unsure","E.V.Hesitant","Hispanic","Native","Asian","Black","Hawaiian.Pacific","White","State","Pov","Unemp","Income","NoHSDP","Age65","Age17","Disab","SNGPNT","MINRTY","LIMENG","MUnit","Mobile","Crowd","NoVeh","GroupQ","RUCC","R.Years","D.Years","R.Cycles","D.Cycles","2020"
"368",5077,0.2279,0.2857,0.152,0.025,0.0024,0.0016,0.5533,0,0.4104,"AR",26,15.3,15771,27,18.4,18.9,23.9,9.1,59.1,0.8,2,14,1.7,16.3,17.5,7,0,21,0,6,"DEMOCRAT"
"369",6103,0.0821,0.1284,0.041,0.2497,0.0139,0.0151,0.0074,2e-04,0.6834,"CA",21.5,9.3,23126,15.6,18.9,24,20.1,10.4,31.3,3.6,2.3,20.9,5.2,7.5,1.4,4,21,0,6,0,"REPUBLICAN"
"370",8039,0.0681,0.102,0.0412,0.07,0.0062,0.0082,0.004,4e-04,0.8852,"CO",4.4,2.7,43349,3.3,14.7,21.9,10,3.8,11.1,0.1,0.6,4.1,1.4,2,0.3,1,21,0,6,0,"REPUBLICAN"
"371",5087,0.2042,0.2445,0.1346,0.0572,0.0102,0.012,0.001,0.0059,0.8933,"AR",16.8,6.4,23875,20.3,18.4,23.7,19.1,6.1,10.4,1.4,1.4,20.6,2.9,5.4,0.5,2,21,0,6,0,"REPUBLICAN"
"372",8049,0.0652,0.0995,0.0382,0.0882,0,0.0139,0.0103,0.0011,0.8729,"CO",11.3,5.2,34717,4.5,16.1,17.6,5.1,5.3,12.4,1.2,16,6.2,2.1,2.4,2,7,21,0,6,0,"REPUBLICAN"
"373",5097,0.2031,0.2502,0.133,0.0434,0.0147,0.004,0.0029,0,0.9093,"AR",18.9,5.7,22347,21.8,26.6,18.9,26.1,5.2,9.6,1,1,28.3,2.2,5.6,1.6,8,21,0,6,0,"REPUBLICAN"
"374",6039,0.082,0.1294,0.041,0.5777,0.0099,0.0194,0.0307,9e-04,0.3413,"CA",20.8,8.3,21394,28.1,13.4,27.6,13.2,11.3,65.5,13.2,2.9,6.2,9,6,5.3,3,21,0,6,0,"REPUBLICAN"
"375",8093,0.0847,0.1288,0.0517,0.0611,0.0029,0.0056,0.0015,0.0013,0.8895,"CO",5.5,5.4,35939,3,19.1,17.3,11.6,2.3,10.8,0.1,0,4,0.9,1.9,0.7,1,21,0,6,0,"REPUBLICAN"
"376",6011,0.0821,0.1284,0.041,0.5937,0.0067,0.0127,0.0119,0.0018,0.3531,"CA",13.8,5.1,27336,30.6,13.8,27.4,12.3,13.2,64.3,16,2.7,7.2,6.9,5.4,1,6,21,0,6,0,"REPUBLICAN"
"377",5125,0.198,0.2364,0.1292,0.0476,0.0032,0.0127,0.0709,0.0012,0.8459,"AR",8.5,3.9,29358,9.6,17.2,23.6,16.9,8.8,14.8,1.1,4.1,15.5,1.9,4,1.1,2,21,0,6,0,"REPUBLICAN"
"378",6001,0.0479,0.0749,0.0237,0.2239,0.0031,0.2994,0.1033,0.008,0.3141,"CA",10.6,5.1,44283,12,13.1,21,9.4,7.1,68.2,8.4,21.5,1.2,7.7,9.6,2,1,0,21,0,6,"DEMOCRAT"
